Date,Average temperature,Precipitation,Average wind speed,Wind gust,Maximum pressure,NO2,O3
19/08/2005,24.6,0,2.2,16.1,945.1,52.65999985,28.70999908
20/08/2005,23.2,0,3.6,12.5,945.5,60.45999908,37.40000153
21/08/2005,19.3,0,2.2,10.8,946.1,67.58000183,25.60000038
22/08/2005,20.4,0,1.1,10.3,945.5,63.11000061,28.44000053
23/08/2005,23,0,2.2,10,943.9,61.41999817,8.119999886
24/08/2005,24.6,0,3.1,8.1,941.5,47.22000122,36.79999924
25/08/2005,26.3,0,2.2,10.3,939.4,57.49000168,33.68000031
26/08/2005,26.2,0,3.3,9.7,940.7,96.59999847,8.319999695
27/08/2005,26.5,0,2.2,7.5,941,69.41000366,6.730000019
28/08/2005,26.7,0,2.5,8.9,941.7,65.59999847,6.349999905
29/08/2005,27,0,1.7,8.3,943.3,76.91999817,7.090000153
30/08/2005,27.6,0,1.9,8.3,944.6,81.56999969,12.02000046
31/08/2005,26.5,0,1.9,7.8,940.9,64.59999847,10.98999977
01/09/2005,25.7,0,1.9,7.8,940.5,65.48999786,10.31000042
02/09/2005,26.4,0,1.7,8.6,943.7,67.54000092,6.139999866
03/09/2005,27.4,0,1.4,6.9,945.9,54.54999924,15.64000034
04/09/2005,26.9,0,2.5,10,946.1,55.36999893,23.19000053
05/09/2005,23.6,0,3.1,11.1,941.7,74.16999817,8.140000343
06/09/2005,18.8,1,3.3,12.2,937.5,68.48000336,20.62999916
07/09/2005,17,1.5,2.5,10.3,937.7,77.12000275,6.980000019
08/09/2005,19.4,0,1.9,7.5,938.7,60.11999893,7.489999771
09/09/2005,20.8,1,3.6,15.3,940.2,94.05999756,6.730000019
10/09/2005,18.4,0,2.5,10.3,941.3,70.41999817,18.71999931
11/09/2005,17.4,0,2.2,10,939.8,69.5,13.09000015
12/09/2005,19,0,2.2,9.4,943.7,46.52999878,45.68999863
13/09/2005,19.6,0,2.8,8.9,946.7,72.30999756,10.96000004
14/09/2005,21.2,0,1.7,6.1,950.1,65.91999817,8.239999771
15/09/2005,23,0,1.7,6.7,948.9,15.75,56.54000092
16/09/2005,23.4,0,2.5,11.4,941.7,63.65000153,39.45000076
17/09/2005,16.7,0,4.7,15.3,940.6,102.4000015,8.159999847
18/09/2005,14.2,0,1.7,8.1,944.7,79.27999878,17.02000046
19/09/2005,15.5,0,1.4,8.3,947,73.34999847,14.36999989
20/09/2005,18.7,0,1.7,6.4,946.6,109.9000015,8.149999619
21/09/2005,19.8,0,1.9,6.1,941.9,61.75,7.28000021
22/09/2005,21.2,0,2.2,8.3,942.6,55.40000153,18.42000008
23/09/2005,21.9,0,1.7,6.1,941.5,70.5,10.47000027
24/09/2005,22,0,1.7,9.4,942.3,65.02999878,9.369999886
25/09/2005,20.5,2.9,1.7,13.1,942.1,67.59999847,10.03999996
26/09/2005,17.7,0,1.7,10.6,945.3,67.01000214,22
27/09/2005,19.1,0,0.6,5.3,946.6,59.84000015,28.44000053
28/09/2005,20.5,0,1.4,5.3,947.7,51.27999878,12.92000008
29/09/2005,21.4,0,1.7,10,948.2,61.90999985,8.390000343
30/09/2005,20.3,0,1.7,8.9,948.3,72.44999695,7.099999905
01/10/2005,22,0,1.9,11.4,944.7,84.62999725,7.039999962
02/10/2005,16.4,0,4.2,12.5,946.1,63.59999847,7.050000191
03/10/2005,15,0,2.8,12.5,948.1,64.58999634,37.70999908
04/10/2005,14.8,0,1.4,7.2,946.6,86.87999725,36.31000137
05/10/2005,16.2,0,1.9,6.4,945.5,96.72000122,13.81000042
06/10/2005,16.9,0,1.1,6.7,942.3,67.36000061,37.27000046
07/10/2005,17.6,0,2.2,6.7,942.6,73.84999847,31.97999954
08/10/2005,17.5,0,1.1,5.6,943.4,86.44999695,17.59000015
09/10/2005,18.9,0,1.4,5,945.7,153.1000061,8
10/10/2005,18,14.5,1.9,7.8,943,135.3000031,9.510000229
11/10/2005,17.2,13,1.7,8.1,940.2,129.6999969,6.929999828
12/10/2005,16.8,9.6,2.5,13.3,937.8,61.15000153,32.02999878
13/10/2005,11.4,4.2,1.7,8.3,939.9,58.00999832,48.43999863
14/10/2005,11.5,0,1.7,3.3,942.5,88.81999969,22.01000023
15/10/2005,12.6,0,1.1,5.8,944.5,46.97999954,43.90999985
16/10/2005,14.4,0,1.7,6.7,944.6,33.81999969,50.97000122
17/10/2005,15.2,2.9,0.8,5.8,942.1,73.26999664,11.81999969
18/10/2005,15.8,0.1,2.5,8.3,939.4,68.26999664,22.78000069
19/10/2005,14.2,0,1.7,7.5,941.9,70.08999634,30.68000031
20/10/2005,13.8,1.8,0.8,6.1,940.6,58.25999832,31.95000076
21/10/2005,13.2,8.4,1.9,7.2,939.5,62.97000122,29.45999908
22/10/2005,14.4,9.5,2.5,6.7,940.3,70.52999878,9.460000038
23/10/2005,13.4,0,0.8,5.6,946.1,76.44000244,22.64999962
24/10/2005,13.7,0,1.4,6.7,947,55.36000061,38.38999939
25/10/2005,14.1,0,1.4,4.2,945.1,48.15000153,33.08000183
26/10/2005,16,0,2.2,7.2,943.8,30.47999954,21.04000092
27/10/2005,17.2,3,2.5,12.5,941.3,34.45000076,18.78000069
28/10/2005,14.8,16.3,3.1,18.6,941,41.33000183,24.61000061
29/10/2005,14.7,0,0.8,5.6,942.3,60.27000046,42.40000153
30/10/2005,16.8,10.7,1.4,10.6,939,82.25,27.34000015
31/10/2005,13.5,0,1.9,10.8,944.1,97.76000214,27.77000046
01/11/2005,13,0,1.4,6.9,946.7,67.43000031,38.04999924
02/11/2005,13.4,0,1.1,5.3,946.5,40.68000031,52.86000061
03/11/2005,12.6,0.1,0.8,6.1,943.9,35.52000046,51.02999878
04/11/2005,11.8,0,1.7,8.6,948.6,66.12999725,36.75
05/11/2005,9.5,0,0.8,5,953.5,56.65000153,18.39999962
06/11/2005,9.6,0,0.8,4.7,953,56.47000122,24.23999977
07/11/2005,9.6,0,0.8,5.3,949.9,47.54999924,18.05999947
08/11/2005,10.2,3.4,1.4,9.4,947.3,87.88999939,16.98999977
09/11/2005,9.4,0,1.7,11.7,953,43.79000092,47.84999847
10/11/2005,10.8,0,3.6,13.3,952.6,34.04999924,56.18000031
11/11/2005,11.1,0,2.2,10,952.2,80.37999725,18.18000031
12/11/2005,8.6,8,1.9,7.5,946.1,63.68000031,19.20999908
13/11/2005,5.5,1.1,2.2,8.3,932.9,65.23000336,40.41999817
14/11/2005,6.8,30.2,1.7,9.4,935,40.56000137,35.04999924
15/11/2005,6.2,6.8,1.7,7.2,934.9,40.63999939,28.63999939
16/11/2005,6.6,0,0.8,7.2,937.5,58.45000076,23.28000069
17/11/2005,7.2,0,1.9,5.8,940.5,60.91999817,37.79000092
18/11/2005,7.8,0,1.4,4.2,939.4,77.27999878,19.42000008
19/11/2005,10.8,0,2.2,7.2,942.5,77.31999969,19.45999908
20/11/2005,10.4,0,2.2,7.5,945.1,75.91999817,20.01000023
21/11/2005,10.8,0,2.8,8.1,943.9,45.93000031,30.96999931
22/11/2005,12,0,1.1,6.7,941.3,69.12999725,12.73999977
23/11/2005,9,0,3.1,11.7,942.3,51.54999924,46.65000153
24/11/2005,7.3,0,2.5,10.3,943.7,54.02999878,45.41999817
25/11/2005,4.8,0.4,1.7,12.8,940.6,117,11.43999958
26/11/2005,4.2,0,2.2,12.2,927.8,72.80999756,29.29999924
27/11/2005,4,0,2.2,8.6,932.3,75.27999878,47.63999939
28/11/2005,5.3,0,2.8,8.3,933.3,51.59000015,55.70000076
29/11/2005,4.2,0,2.2,11.1,936.7,53.90000153,59.09999847
30/11/2005,5.2,0,1.4,6.7,940.3,49.63000107,58.91999817
01/12/2005,4.9,1,2.2,11.1,938.2,78.23000336,35.93000031
02/12/2005,8.8,16.4,3.1,15.6,,116.8000031,12.64000034
03/12/2005,8.6,0,1.9,14.7,940.6,69.87000275,23.02000046
04/12/2005,9.9,0,3.3,12.2,940.5,75.26000214,14.67000008
05/12/2005,8.7,0,2.2,12.5,937.9,81.01999664,18.84000015
06/12/2005,6.3,0,1.1,7.5,941.5,91.94999695,48.20999908
07/12/2005,7.6,0,1.1,16.1,946.9,84.02999878,45.79000092
08/12/2005,7.8,0,1.4,4.7,949,23.78000069,59.59000015
09/12/2005,9.1,0,2.5,11.1,951.9,60.56000137,26.29999924
10/12/2005,5.8,0,1.1,9.7,950.6,66.63999939,30.70999908
11/12/2005,4.2,0,0.8,4.7,949.3,59.15000153,46.43999863
12/12/2005,4.6,0,0.6,5.8,946.1,88.98000336,38.18000031
13/12/2005,4.4,0,1.4,8.1,945.8,94.98000336,22.62999916
14/12/2005,5.6,0,1.9,9.4,944,93.52999878,32.83000183
15/12/2005,4.2,0,2.5,10,945.1,78.06999969,15.39999962
16/12/2005,3.8,0,0.8,8.9,946.9,62.95000076,43.72999954
17/12/2005,5.6,0,1.9,12.5,,56.40999985,48.02000046
18/12/2005,5.5,0,1.4,6.7,945.3,69.93000031,41.95000076
19/12/2005,4.8,0,2.2,6.4,947.5,83.81999969,12.81000042
20/12/2005,7.2,0,1.9,21.1,948.9,97.51000214,36.68000031
21/12/2005,6.8,0,2.2,6.7,951.3,66.27999878,46.68999863
22/12/2005,4.6,0,1.4,6.4,952.7,62.13999939,51.63000107
23/12/2005,4.4,0,0.6,6.1,949.7,85.59999847,37.66999817
24/12/2005,3.6,0,1.4,5.6,945.1,86.29000092,21.31999969
25/12/2005,5,0,1.1,5,943.8,96.45999908,23.76000023
26/12/2005,5.2,7.2,2.2,6.4,938.3,61.72000122,46.72999954
27/12/2005,7.8,0,3.3,13.1,932.1,121.5999985,7.340000153
28/12/2005,3.4,0,2.5,10.3,,93.58000183,27.94000053
29/12/2005,4,0,1.4,9.2,941.7,49.33000183,64.08000183
30/12/2005,10.7,0,2.2,9.2,,71.23000336,40.70999908
31/12/2005,7.8,0,2.5,11.1,945,56.5,33.40999985
01/01/2006,8,0,2.2,13.3,945.1,84.15000153,39.36000061
02/01/2006,7.6,0,1.9,11.1,949.1,86.88999939,17.54000092
03/01/2006,7,0,2.5,13.3,948.3,65.87000275,34.29999924
04/01/2006,5.3,0,0.6,5.8,945.8,72.51999664,15.03999996
05/01/2006,6.1,0.7,0.8,6.7,939.1,71.16000366,44
06/01/2006,5.4,19.2,1.4,3.9,933.5,97.20999908,58.29999924
07/01/2006,5.5,0.3,2.8,9.2,936.1,106.9000015,34.54999924
08/01/2006,7.2,0,1.4,6.7,944.3,130,29.80999947
09/01/2006,6.3,0.4,1.1,6.7,947.3,123.3000031,33.47000122
10/01/2006,5.2,0,3.9,11.7,950,157.6999969,20.01000023
11/01/2006,7.4,0,0.8,5.8,953.1,88.04000092,51.27999878
12/01/2006,5.9,0,1.1,5.6,950.1,70.80999756,88.13999939
13/01/2006,5.5,0,1.4,6.1,947.7,126.8000031,46.18000031
14/01/2006,4.8,0,1.7,6.7,947.6,143,24.87999916
15/01/2006,6,12.1,1.4,8.3,944.7,117.1999969,37.11000061
16/01/2006,4.2,2.4,1.9,6.9,941.6,140.1999969,54.41999817
17/01/2006,6.8,0,0.8,6.1,944.3,108.0999985,50.61000061
18/01/2006,7.2,0,1.7,7.8,945.1,112.6999969,49.29999924
19/01/2006,9.9,0,2.5,7.8,943.5,118.0999985,72.80999756
20/01/2006,7.5,0.1,1.7,5,948,104.6999969,39.18999863
21/01/2006,5.6,0,1.4,6.9,948.4,126.3000031,37.33000183
22/01/2006,5.6,0,1.4,4.4,947.7,75.33000183,61.25999832
23/01/2006,7.1,0,1.1,5,948.2,102.4000015,46.29000092
24/01/2006,4.5,0,2.2,8.1,947.2,105.0999985,53.20999908
25/01/2006,4.8,0,2.2,7.5,945,39.54000092,48.79000092
26/01/2006,4.8,0,1.1,6.1,937.6,44.56000137,52.79000092
27/01/2006,2.6,0,3.6,11.9,934,71.61000061,63.56999969
28/01/2006,0.8,0,2.2,10.8,933,93.23999786,41.77999878
29/01/2006,0.3,0.2,2.5,7.5,936.4,150.1999969,30.20999908
30/01/2006,2.4,0.2,2.5,9.2,940.7,110.6999969,55.06000137
31/01/2006,5.6,0,0.8,5,944.5,69.87999725,47.49000168
01/02/2006,7.2,0,1.1,4.4,946.2,38.47999954,53.72999954
02/02/2006,7.8,0,1.4,6.4,943.3,43.93000031,64.59999847
03/02/2006,9,0,2.2,6.4,937.1,69.51000214,52.72999954
04/02/2006,5.3,0,1.9,10.3,939.8,111.1999969,44.24000168
05/02/2006,5.2,0,1.7,8.6,944.3,125.1999969,39.81999969
06/02/2006,6.6,0,1.1,6.1,,171.6999969,15.34000015
07/02/2006,6.6,0,1.1,5,947.6,135.1999969,52.36999893
08/02/2006,7,0,0.6,5.3,943.5,162.1999969,59.66999817
09/02/2006,7.2,0,0.8,5,940.8,74.76999664,65.94000244
10/02/2006,7.4,0,1.1,4.7,940,113.5,47.74000168
11/02/2006,10,0,0.8,4.4,940.5,85.76000214,54
12/02/2006,9.6,0,1.1,5.8,946.4,56.47000122,55.38999939
13/02/2006,9.7,0,1.7,6.1,945.1,87.58999634,42.70000076
14/02/2006,9.9,0,1.7,6.4,944.8,148.3999939,32.09999847
15/02/2006,8,0,1.4,9.7,945.1,104.5,55.36000061
16/02/2006,9,0,3.3,14.4,939.4,72.19999695,76.72000122
17/02/2006,7.1,0,3.1,14.4,938,111.3000031,44.27000046
18/02/2006,9,10.8,3.9,13.3,936.6,121.1999969,52.84000015
19/02/2006,6.2,0.1,3.6,18.6,933.5,59.45000076,43.31999969
20/02/2006,4.7,0.2,1.9,9.7,933.8,48.90999985,52.52000046
21/02/2006,5.6,0,3.1,10.3,932.5,40.70000076,53.77000046
22/02/2006,4.4,1.7,2.8,9.4,937.6,78.84999847,51.20999908
23/02/2006,2.9,0.6,1.1,8.3,939.7,79.65000153,69.80000305
24/02/2006,4.4,0.5,1.4,10,935.4,78.04000092,39.95999908
25/02/2006,3.2,21.3,1.9,11.4,931.9,95.41999817,32.79000092
26/02/2006,2.9,0,1.9,13.3,929.7,125.3000031,18.28000069
27/02/2006,6.2,0,1.1,11.7,936.8,106.4000015,25.09000015
