x1;x2;y
0.36805555;0.22727273;0
0.4722222;0.14935064;0
0.46206897;0.71710527;1
0.6458333;0.17532468;0
0.5833333;0.2857143;0
0.38194445;0.33766234;0
0.39310345;0.5394737;1
0.47916666;0.59090906;0
0.6180556;0.4090909;0
0.625;0.52597404;0
0.7152778;0.6168831;0
0.33103448;0.67763156;1
0.7569444;0.512987;0
0.5586207;0.65789473;1
0.8194444;0.44155845;0
0.7291667;0.26623377;0
0.8680556;0.2987013;0
0.22758621;0.36842105;1
0.32413793;0.44078946;1
0.22068965;0.49342105;1
0.2777778;0.25974026;0
0.18620689;0.67105263;1
0.2689655;0.5855263;1
0.50344825;0.46052632;1
0.5;0.35064936;0
0.29655173;0.80921054;1
0.4;0.875;1
0.63448274;0.7236842;1
0.7430556;0.37012988;0
0.5241379;0.80263156;1